Tank,Father,Trt,Egg Date,Egg Time,Clutch Size,Upgraded Skim,Week,Day Culled,Fry Count,Num Removed,Mean5 Weight,Mean5 Length,Fry 1 Weight,Fry 1 Length,Fry 2 Weight,Fry 2 Length,Fry 3 Weight,Fry 3 Length,Fry 4 Weight,Fry 4 Length,Fry 5 Weight,Fry 5 Length,Fry 6 Weight,Fry 6 Length,Fry 7 Weight,Fry 7 Length,Fry 8 Weight,Fry 8 Length,Fry 9 Weight,Fry 9 Length,Fry 10 Weight,Fry 10 Length,Mean Weight,Mean Length
6,6,Day 10,8/2/17,PM,0.21,9/20/17,14,11/14/17,60,7,0.112,19.692,0.15,22.14,0.08,18.04,0.07,17.8,0.19,23.42,0.07,17.06,0.16,22.73,0.1,19.29,NA,NA,NA,NA,NA,NA,0.12,20.07
6,6,Day 10,8/2/17,PM,0.21,9/20/17,16,11/26/17,55,6,0.136,20.658,0.11,19.31,0.13,20.11,0.13,20.32,0.16,21.98,0.15,21.57,0.12,19.92,NA,NA,NA,NA,NA,NA,NA,NA,0.13,20.54
23,74,Day 0,8/10/17,PM,0.23,9/28/17,12,11/8/17,75,8,0.098,19.15,0.12,20.81,0.11,19.75,0.13,21.11,0.07,17.68,0.06,16.4,0.11,18.97,0.07,17.12,0.12,20.59,NA,NA,NA,NA,0.1,19.05
23,74,Day 0,8/10/17,PM,0.23,9/28/17,14,11/21/17,70,7,0.134,20.54,0.12,19.94,0.13,21.14,0.2,23.66,0.1,18.84,0.12,19.12,0.15,21,0.09,18.14,NA,NA,NA,NA,NA,NA,0.13,20.26
23,74,Day 0,8/10/17,PM,0.23,9/28/17,16,12/6/18,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,83,Day 0,8/18/17,AM,0.41,10/9/17,12,11/14/17,80,8,0.07,17.186,0.03,14.08,0.08,17.58,0.07,17.3,0.09,18.51,0.08,18.46,0.09,18.42,0.05,15.34,0.1,19.06,NA,NA,NA,NA,0.07,17.34
13,83,Day 0,8/18/17,AM,0.41,10/9/17,14,11/30/17,75,8,0.1,18.798,0.08,18.24,0.09,17.81,0.12,20.25,0.15,21.15,0.06,16.54,0.12,20.05,0.15,21.51,0.1,19.22,NA,NA,NA,NA,0.11,19.35
13,83,Day 0,8/18/17,AM,0.41,10/9/17,16,12/16/17,80,9,0.196,23.012,0.35,28.25,0.23,25.5,0.13,20.33,0.13,19.67,0.14,21.31,0.15,22.07,0.08,17.82,0.18,22.64,0.08,17.17,NA,NA,0.16,21.64
11,82,Day 0,8/22/17,AM,0.39,10/10/17,12,11/20/17,90,9,0.092,18.76,0.08,17.78,0.07,18.37,0.15,22.4,0.1,19.27,0.06,15.98,0.09,18.54,0.11,20.44,0.09,19.11,0.11,20.49,NA,NA,0.1,19.15
11,82,Day 0,8/22/17,AM,0.39,10/10/17,14,12/4/17,90,10,0.104,18.882,0.07,12.72,0.08,18.46,0.15,23.41,0.11,20.13,0.11,19.69,0.11,19.62,0.17,22.45,0.12,20.57,0.11,20.54,0.12,20.7,0.12,19.83
11,82,Day 0,8/22/17,AM,0.39,10/10/17,16,12/19/17,80,9,0.172,22.834,0.15,21.6,0.15,21.48,0.25,26.27,0.14,21.92,0.17,22.9,"0,12",21.32,0.19,23.53,0.19,23.35,0.18,23.35,NA,NA,0.18,22.86
