File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
11-082_E5_after,11-082,E5,03/30/20,1141,AM,,after,1,1,1,233881,46666,0,280547,0,233881,170093,110454,0,None
11-082_E6_after,11-082,E6,03/30/20,1211,AM,,after,0,5,5,180708,119289,171825,128174,81252,99456,117458,182540,0,None
11-082_E6_after,11-082,E6,03/30/20,1211,AM,,after,1,9,7,150192,122250,234163,38279,141927,8265,147793,124649,0,None
11-082_E7_after,11-082,E7,03/30/18,1518,SR,GZ,after,0,1,1,299996,0,299997,0,299996,0,0,299998,0,freeze
11-082_E7_after,11-082,E7,03/30/18,1518,SR,GZ,after,1,4,3,86409,213591,238977,61023,86409,0,27639,272361,0,freeze
11-082_E8_after,11-082,E8,03/30/18,1557,GZ,SR,after,0,1,1,299998,0,299996,0,299996,0,0,299997,0,None
11-082_E8_after,11-082,E8,03/30/18,1557,GZ,SR,after,1,1,1,293379,0,293379,0,293379,0,0,293379,0,None
11-082_E9_after,11-082,E9,04/02/18,1119,BF , AF,after,0,1,1,299998,0,299997,0,299997,0,0,299996,0,none
11-082_E9_after,11-082,E9,04/02/18,1119,BF , AF,after,1,1,1,293099,6901,101523,198477,96465,196634,0,3e+05,0,none
17-095_E1_after,17-095,E1,04/24/18,1311,BF , AF,after,0,1,1,297220,2777,299998,0,297220,0,0,299996,9280,none
17-095_E1_after,17-095,E1,04/24/18,1311,BF , AF,after,1,3,2,224052,75948,268304,31696,219280,4772,0,3e+05,0,none
17-095_E2_after,17-095,E2,04/24/18,1325,AF , BF,after,0,8,6,118034,180963,160640,138358,97813,20221,60251,238745,31850,none
17-095_E2_after,17-095,E2,04/24/18,1325,AF , BF,after,1,10,8,115899,184101,41473,258527,0,115899,90858,209142,0,none
17-095_E3_after,17-095,E3,04/24/18,1515,SR,AP,after,0,5,4,67683,232314,272999,26999,67683,0,0,299996,0,none
17-095_E3_after,17-095,E3,04/24/18,1515,SR,AP,after,1,1,1,202000,93800,295800,0,202000,0,0,295800,0,none
17-095_E4_after,17-095,E4,04/24/18,1544,AP,SR,after,0,1,1,283225,16772,299998,0,283225,0,0,299996,0,Freeze
17-095_E4_after,17-095,E4,04/24/18,1544,AP,SR,after,1,1,1,292825,0,292825,0,292825,0,0,292825,0,Freeze
17-095_E5_after,17-095,E5,04/26/18,1521,AP,GZ,after,0,1,1,283545,16453,299997,0,283544,0,0,299996,0,freeze
17-095_E5_after,17-095,E5,04/26/18,1521,AP,GZ,after,1,1,1,162447,136924,296306,3065,162447,0,0,299371,0,freeze
17-095_E6_after,17-095,E6,04/26/18,1549,GZ,AP,after,0,14,4,62838,237159,74858,225137,0,62836,177628,122370,42146,freeze
17-095_E6_after,17-095,E6,04/26/18,1549,GZ,AP,after,1,16,5,0,291903,70878,221025,0,0,58811,233092,0,freeze
17-095_E7_after,17-095,E7,04/27/18,1020,AM,KJ,after,0,24,8,29328,269329,34053,264605,12439,16889,34705,263951,3676,none
17-095_E7_after,17-095,E7,04/27/18,1020,AM,KJ,after,1,21,8,38156,261844,38905,261095,31427,6729,79079,220921,0,none
17-095_E8_after,17-095,E8,04/27/18,1045,AM,KJ,after,0,1,1,298659,0,298661,0,298659,0,0,298660,0,none
17-095_E8_after,17-095,E8,04/27/18,1045,AM,KJ,after,1,1,1,279859,0,279859,0,279859,0,0,279859,0,none
19-093_E1_after,19-093,E1,04/16/18,1513,AF , BF ,after,0,10,6,138176,161821,0,299996,0,138175,277424,22574,0,fast start
19-093_E1_after,19-093,E1,04/16/18,1513,AF , BF ,after,1,11,7,197349,102651,0,3e+05,0,197349,195432,104568,10717,fast start
19-093_E2_after,19-093,E2,04/16/18,1540,BF , AF ,after,0,9,8,119585,180413,92909,207087,86315,33268,81362,218635,2529,none
19-093_E2_after,19-093,E2,04/16/18,1540,BF , AF ,after,1,5,5,185977,114023,127732,172268,118981,66996,39736,260264,2477,none
19-093_E3_after,19-093,E3,04/17/18,1529,AP,SR,after,0,1,1,277381,22616,299998,0,277381,0,0,299996,0,none
19-093_E3_after,19-093,E3,04/17/18,1529,AP,SR,after,1,1,1,257200,36783,293983,0,257200,0,0,293983,0,none
19-093_E4_after,19-093,E4,04/17/18,1554,SR,AP,after,0,1,1,260943,39054,242869,57129,242125,18818,56040,243956,0,jerky swim
19-093_E4_after,19-093,E4,04/17/18,1554,SR,AP,after,1,2,2,155376,141850,236816,60410,151706,3670,21292,275934,0,jerky swim
19-093_E5_after,19-093,E5,04/19/18,1519,AP,GZ,after,0,7,7,114872,185126,95223,204774,28020,86851,103333,196663,2698,jerky swim
19-093_E5_after,19-093,E5,04/19/18,1519,AP,GZ,after,1,11,5,147622,150579,0,298201,0,147622,181994,116207,5497,jerky swim
19-093_E6_after,19-093,E6,04/23/18,1118,AF,BF,after,0,1,1,269788,30210,0,299996,0,269786,299997,0,0,fast start 
19-093_E6_after,19-093,E6,04/23/18,1118,AF,BF,after,1,1,1,230014,69986,0,3e+05,0,230014,3e+05,0,0,fast start 
19-093_E7_after,19-093,E7,04/23/18,1146,AF,BF,after,0,12,6,69135,230863,50698,249299,45658,23476,89646,210350,16005,none
19-093_E7_after,19-093,E7,04/23/18,1146,AF,BF,after,1,11,5,41419,258581,4288,295712,0,41419,178825,121175,15147,none
19-093_E8_after,19-093,E8,04/23/18,1508,AF,BF,after,0,3,2,232340,67658,0,299997,0,232339,82292,217704,0,fast start
19-093_E8_after,19-093,E8,04/23/18,1508,AF,BF,after,1,6,4,191106,108894,0,3e+05,0,191106,97779,202221,0,fast start
20-091_E1_after,20-091,E1,05/08/18,1022,JCK,RZ,after,0,8,5,172796,127200,185815,114183,133810,38986,79284,220713,0,other swim / freeze
20-091_E1_after,20-091,E1,05/08/18,1022,JCK,RZ,after,1,5,3,201620,98380,115122,184878,89484,112136,43486,256514,834,other swim / freeze
20-091_E2_after,20-091,E2,05/08/18,1049,JCK,RZ,after,0,1,1,127875,172121,0,299998,0,127875,202268,97729,0,none
20-091_E2_after,20-091,E2,05/08/18,1049,JCK,RZ,after,1,3,2,153126,146874,182594,117406,86955,66171,101010,198990,0,none
20-091_E3_after,20-091,E3,05/08/18,1455,JCK,JCK,after,0,45,8,42365,257631,0,299997,0,42365,289022,10976,0,jerky swim / freeze
20-091_E3_after,20-091,E3,05/08/18,1455,JCK,JCK,after,1,27,8,149230,150770,0,3e+05,0,149230,274461,25539,0,jerky swim / freeze
20-091_E4_after,20-091,E4,05/08/18,1523,JCK,JCK,after,0,2,2,243239,56758,295501,4497,243239,0,0,299996,737,other swim / plant / freeze
20-091_E4_after,20-091,E4,05/08/18,1523,JCK,JCK,after,1,1,1,266520,33480,3e+05,0,266520,0,0,3e+05,0,other swim / plant / freeze
20-091_E5_after,20-091,E5,05/09/18,1020,JCK,RZ,after,0,10,6,48312,251685,117249,182749,46662,1650,104027,195969,4483,other swim / plant
20-091_E5_after,20-091,E5,05/09/18,1020,JCK,RZ,after,1,14,8,76332,223668,5890,294110,0,76332,218826,81174,5325,other swim / plant
20-091_E6_after,20-091,E6,05/09/18,1049,JCK,RZ,after,0,1,1,252940,47058,299999,0,252940,0,0,299997,0,other swim / plant / freeze
20-091_E6_after,20-091,E6,05/09/18,1049,JCK,RZ,after,1,1,1,270098,29902,3e+05,0,270098,0,0,3e+05,0,other swim / plant / freeze
20-091_E7_after,20-091,E7,05/09/18,1504,JCK,JCK,after,0,4,2,237266,62731,259089,40907,232536,4730,20101,279897,0,other swim
20-091_E7_after,20-091,E7,05/09/18,1504,JCK,JCK,after,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,other swim
20-091_E8_after,20-091,E8,05/09/18,1532,JCK,JCK,after,0,1,1,299996,0,299998,0,299996,0,0,299997,0,none
20-091_E8_after,20-091,E8,05/09/18,1532,JCK,JCK,after,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
22-095_E1_after,22-095,E1,04/12/18,1529,AP,GZ,after,0,5,4,146467,153529,271916,28082,146467,0,21529,278468,15634,fast start
22-095_E1_after,22-095,E1,04/12/18,1529,AP,GZ,after,1,1,1,242090,57910,3e+05,0,242090,0,0,3e+05,0,fast start
22-095_E2_after,22-095,E2,04/12/18,1550,GZ,AP,after,0,4,2,139323,160674,191515,108483,96573,42750,39936,260060,0,none
22-095_E2_after,22-095,E2,04/12/18,1550,GZ,AP,after,1,1,1,286476,7502,293978,0,286476,0,0,293978,0,none
22-095_E3_after,22-095,E3,04/13/20,1048,AM,JK,after,0,2,2,279074,20923,254455,45541,235645,43428,44703,255295,0,Jerky Swim/Freeze
22-095_E3_after,22-095,E3,04/13/20,1048,AM,JK,after,1,1,1,289975,0,289975,0,289975,0,0,289975,0,Jerky Swim/Freeze
22-095_E4_after,22-095,E4,04/13/18,1116,AM,JCK,after,0,1,1,299997,0,299998,0,299997,0,0,299996,0,jerky swim / freeze
22-095_E4_after,22-095,E4,04/13/18,1116,AM,JCK,after,1,6,4,290646,9354,212720,87280,212479,78167,85874,214126,0,jerky swim / freeze
22-095_E5_after,22-095,E5,04/13/18,1515,GZ,SR,after,0,3,3,145700,154297,284984,15014,145700,0,0,299996,7367,none
22-095_E5_after,22-095,E5,04/13/18,1515,GZ,SR,after,1,1,1,153064,139719,272435,20348,153064,0,0,292783,0,none
22-095_E6_after,22-095,E6,04/13/18,1545,SR,GZ,after,0,1,1,126277,168930,295209,0,126277,0,0,295208,0,none
22-095_E6_after,22-095,E6,04/13/18,1545,SR,GZ,after,1,3,2,10060,289940,291560,8440,10060,0,0,3e+05,0,none
22-095_E7_after,22-095,E7,04/16/18,1115,BF , AF,after,0,10,4,192664,107333,197907,102091,153550,39114,44502,255494,2292,none
22-095_E7_after,22-095,E7,04/16/18,1115,BF , AF,after,1,3,3,281560,18440,188209,111791,182756,98804,102501,197499,0,none
22-095_E8_after,22-095,E8,04/16/18,1140,AF , BF,after,0,7,7,130446,169551,86873,213123,62620,67825,120642,179356,9974,none
22-095_E8_after,22-095,E8,04/16/18,1140,AF , BF,after,1,16,8,44229,255771,82307,217693,12972,31257,156857,143143,5986,none
25-081_E1_after,25-081,E1,04/09/18,1120,BF , AF,after,0,1,1,267377,32620,190842,109154,177190,90186,47996,252002,0,none
25-081_E1_after,25-081,E1,04/09/18,1120,BF , AF,after,1,1,1,297831,2169,167935,132065,167314,130517,131581,168419,0,none
25-081_E2_after,25-081,E2,04/09/18,1146,AF , BF,after,0,1,1,267821,32176,299998,0,267821,0,0,299996,0,none
25-081_E2_after,25-081,E2,04/09/18,1146,AF , BF,after,1,3,3,223117,76883,293095,6905,223117,0,0,3e+05,0,none
25-081_E3_after,25-081,E3,04/09/18,1512,AF,BF,after,0,37,9,24162,275836,62009,237988,3412,20749,124677,175319,7239,freeze / fast start
25-081_E3_after,25-081,E3,04/09/18,1512,AF,BF,after,1,24,8,15529,284471,0,3e+05,0,15529,149252,150748,0,freeze / fast start
25-081_E4_after,25-081,E4,04/09/18,1539,BF,AF,after,0,46,9,92122,207876,13933,286063,12189,79931,162782,137215,14513,fast start / freeze
25-081_E4_after,25-081,E4,04/09/18,1539,BF,AF,after,1,35,8,113091,186909,0,3e+05,0,113091,245919,54081,6861,fast start / freeze
25-081_E5_after,25-081,E5,04/10/18,1322,BF , AF,after,0,10,5,160275,139722,179709,120289,156627,3648,47651,252345,0,jerky swim
25-081_E5_after,25-081,E5,04/10/18,1322,BF , AF,after,1,7,5,217280,82720,96583,203417,67956,149324,183962,116038,535,jerky swim
25-081_E6_after,25-081,E6,04/10/18,1347,AF , BF,after,0,7,5,250667,49330,201959,98039,162629,88038,93100,206896,31747,none
25-081_E6_after,25-081,E6,04/10/18,1347,AF , BF,after,1,5,3,294554,5446,289906,10094,289455,5099,8427,291573,0,none
25-081_E7_after,25-081,E7,04/10/18,1524,AP,SR,after,0,28,9,46728,253269,0,299996,0,46727,297761,2237,1767,Jerky swim
25-081_E7_after,25-081,E7,04/10/18,1524,AP,SR,after,1,27,8,6000,294000,0,3e+05,0,6000,3e+05,0,0,Jerky swim
25-081_E8_after,25-081,E8,04/10/18,1614,SR,AP,after,0,29,5,68728,231269,0,299995,0,68728,252179,47819,0,jerky swim
25-081_E8_after,25-081,E8,04/10/18,1614,SR,AP,after,1,49,8,41652,256394,10375,287671,0,41652,272530,25516,4329,jerky swim
26-077_E1_after,26-077,E1,03/26/18,1121,AF, BF,after,0,1,1,118943,181045,275711,24288,95895,23048,0,299998,0,freeze
26-077_E1_after,26-077,E1,03/26/18,1121,AF, BF,after,1,1,1,275494,24506,3e+05,0,275494,0,0,3e+05,0,freeze
26-077_E2_after,26-077,E2,03/26/18,1153,AF, BF,after,0,19,8,99005,200992,81415,218583,53166,45839,68841,231155,4480,jerky swim
26-077_E2_after,26-077,E2,03/26/18,1153,AF, BF,after,1,37,8,499,299501,0,3e+05,0,499,204735,95265,0,jerky swim
26-077_E3_after,26-077,E3,03/26/18,1506,AF , BF,after,0,1,1,299997,0,299998,0,299997,0,0,299996,0,jerky swim
26-077_E3_after,26-077,E3,03/26/18,1506,AF , BF,after,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,jerky swim
26-077_E4_after,26-077,E4,03/26/18,1531,AF , BF,after,0,1,1,299997,0,0,299996,0,299996,299998,0,0,none
26-077_E4_after,26-077,E4,03/26/18,1531,AF , BF,after,1,1,1,3e+05,0,0,3e+05,0,3e+05,3e+05,0,0,none
26-077_E5_after,26-077,E5,03/27/18,1316,AF,BF,after,0,1,1,295428,4569,0,299900,0,295331,299998,0,0,fast start / freeze 
26-077_E5_after,26-077,E5,03/27/18,1316,AF,BF,after,1,3,3,186419,113581,0,3e+05,0,186419,103318,196682,0,fast start / freeze 
26-077_E6_after,26-077,E6,03/27/18,1343,AF,BF,after,0,2,2,289023,10974,262362,37634,261628,27394,23899,276099,0,jerky swim / freeze
26-077_E6_after,26-077,E6,03/27/18,1343,AF,BF,after,1,6,4,276846,23154,43927,256073,41828,235018,248415,51585,0,jerky swim / freeze
26-077_E7_after,26-077,E7,03/27/18,1516,AP,SR,after,0,9,4,135292,164705,189655,110341,99659,35632,64066,235932,12456,freeze
26-077_E7_after,26-077,E7,03/27/18,1516,AP,SR,after,1,14,8,79613,213128,106842,185899,66258,13355,132324,160417,0,freeze
26-077_E8_after,26-077,E8,03/27/18,1553,SR,AP,after,0,7,4,64568,230735,262161,33143,64568,0,21144,274157,0,freeze
26-077_E8_after,26-077,E8,03/27/18,1553,SR,AP,after,1,23,8,28862,270187,67034,232015,28862,0,206033,93016,0,freeze
27-002_E10_after,27-002,E10,03/12/18,1207,AF , BF,after,0,4,4,262677,37321,210048,89949,209286,53390,13544,286452,0,freeze
