Submitted Sample Name,Tank,Fry Number,Fry ID,Trt,Date Dissected,SIDE RNA
2B7_17E7,17-095,E7,17-095-E7,Day 10,4/27/18,L
,39-093,E1,39-093-E1,Day 0,5/4/18,R
2C7_40C7,40-091,C7,40-091-C7,Day 0,4/30/18,R
2D7_22E7,22-095,E7,22-095-E7,Day 0,4/16/18,R
2E7_19C5,19-093,C5,19-093-C5,Day 10,4/19/18,L
2F7_07C4,07-081,C4,07-081-C4,Day 10,4/3/18,L
2G7_31C5,31-082,C5,31-082-C5,Day 10,5/3/18,L
2H7_26C1,26-077,C1,26-077-C1,Day 10,3/26/18,R
2A8_22C8,22-095,C8,22-095-C8,Day 0,4/16/18,L
2B8_30C8,30-002,C8,30-002-C8,Day 0,3/16/18,L
2C8_17C8,17-095,C8,17-095-C8,Day 10,4/27/18,R
2D8_11E2,11-082,E2,11-082-E2,Day 0,3/29/18,L
2E8_07E2,07-081,E2,07-081-E2,Day 10,4/2/18,L
2F8_20C5,20-091,C5,20-091-C5,Day 10,5/9/18,L
2G8_11C7,11-082,C7,11-082-C7,Day 0,3/30/18,R
2H8_26E4,26-077,E4,26-077-E4,Day 10,3/26/18,L
2A9_19E1,19-093,E1,19-093-E1,Day 10,4/16/18,R
2B9_27E14,27-002,E14,27-002-E14,Day 10,3/13/18,R
2C9_35C2,35-078,C2,35-078-C2,Day 10,3/19/18,L
2D9_39C1,39-093,C1,39-093-C1,Day 0,5/4/18,R
2E9_20E6,20-091,E6,20-091-E6,Day 10,5/9/18,R
2F9_30E7,30-002,E7,30-002-E7,Day 0,3/16/18,R
2G9_20E7,20-091,E7,20-091-E7,Day 10,5/9/18,L
2H9_04C2,04-078,C2,04-078-C2,Day 0,4/5/18,L
2A10_31E3,31-082,E3,31-082-E3,Day 10,5/1/18,R
2B10_39C2,39-093,C2,39-093-C2,Day 0,5/4/18,L
2C10_27E10,27-002,E10,27-002-E10,Day 10,3/12/18,R
2D10_30C9,30-002,C9,30-002-C9,Day 0,3/16/18,R
2E10_35C3,35-078,C3,35-078-C3,Day 10,3/20/18,R
2F10_07C1,07-081,C1,07-081-C1,Day 10,4/2/18,R
2G10_32E1,32-077,E1,32-077-E1,Day 0,3/22/18,L
2H10_30E10,30-002,E10,30-002-E10,Day 0,3/16/18,L
2A11_25C7,25-081,C7,25-081-C7,Day 0,4/10/18,L
2B11_19E3,19-093,E3,19-093-E3,Day 10,4/17/18,L
2C11_04E2,04-078,E2,04-078-E2,Day 0,4/5/18,L
2D11_17E1,17-095,E1,17-095-E1,Day 10,4/24/18,R
2E11_31C1,31-082,C1,31-082-C1,Day 10,4/30/18,R
2F11_39E7,39-093,E7,39-093-E7,Day 0,5/7/18,R
2G11_07E3,07-081,E3,07-081-E3,Day 10,4/2/18,R
,25-081,E5,25-081-E5,Day 0,4/10/18,L
,19-093,C3,19-093-C3,Day 10,4/17/18,L
,32-077,C7,32-077-C7,Day 0,3/23/18,R
2H11_35E6,35-078,E6,35-078-E6,Day 10,3/21/18,L
2A12_27C14,27-002,C14,27-002-C14,Day 10,3/13/18,R
2B12_20C1,20-091,C1,20-091-C1,Day 10,5/8/18,R
2C12_40C8,40-091,C8,40-091-C8,Day 0,4/30/18,L
3A1_35E2,35-078,E2,35-078-E2,Day 10,3/19/18,L
3B1_31C8,31-082,C8,31-082-C8,Day 10,5/3/18,R
3C1_30C10,30-002,C10,30-002-C10,Day 0,3/16/18,L
3D1_32E3,32-077,E3,32-077-E3,Day 0,3/22/18,L
3E1_19C8,19-093,C8,19-093-C8,Day 10,4/23/18,R
3F1_25C1,25-081,C1,25-081-C1,Day 0,4/9/18,R
3G1_26C7,26-077,C7,26-077-C7,Day 10,3/27/18,L
3H1_27E12,27-002,E12,27-002-E12,Day 10,3/12/18,L
,30-002,E12,30-002-E12,Day 0,3/16/18,L
3A2_04C6,04-078,C6,04-078-C6,Day 0,4/6/18,R
3B2_11C6,11-082,C6,11-082-C6,Day 0,3/30/18,R
3C2_17E8,17-095,E8,17-095-E8,Day 10,4/27/18,R
3D2_27C11,27-002,C11,27-002-C11,Day 10,3/12/18,L
3E2_40E4,40-091,E4,40-091-E4,Day 0,4/27/18,R
3F2_31E5,31-082,E5,31-082-E5,Day 10,5/3/18,L
3G2_20C3,20-091,C3,20-091-C3,Day 10,5/8/18,R
3H2_04E8,04-078,E8,04-078-E8,Day 0,4/6/18,R
3A3_39C8,39-093,C8,39-093-C8,Day 0,5/7/18,L
3B3_25E7,25-081,E7,25-081-E7,Day 0,4/10/18,L
3C3_26E7,26-077,E7,26-077-E7,Day 10,3/27/18,L
3D3_20E4,20-091,E4,20-091-E4,Day 10,5/8/18,L
3E3_22E2,22-095,E2,22-095-E2,Day 0,4/12/18,R
3F3_40C2,40-091,C2,40-091-C2,Day 0,4/27/18,R
3G3_32C6,32-077,C6,32-077-C6,Day 0,3/23/18,L
3H3_30E9,30-002,E9,30-002-E9,Day 0,3/16/18,R
3A4_07C5,07-081,C5,07-081-C5,Day 10,4/3/18,R
3B4_19E4,19-093,E4,19-093-E4,Day 10,4/17/18,R
3C4_25E1,25-081,E1,25-081-E1,Day 0,4/9/18,R
3D4_31C4,31-082,C4,31-082-C4,Day 10,5/1/18,L
3E4_26C6,26-077,C6,26-077-C6,Day 10,3/27/18,R
3F4_17C4,17-095,C4,17-095-C4,Day 10,4/24/18,L
3G4_11C2,11-082,C2,11-082-C2,Day 0,3/29/18,L
3H4_22E6,22-095,E6,22-095-E6,Day 0,4/13/18,L
3A5_04E6,04-078,E6,04-078-E6,Day 0,4/6/18,R
3B5_25C3,25-081,C3,25-081-C3,Day 0,4/9/18,R
3C5_26E2,26-077,E2,26-077-E2,Day 10,3/26/18,L
3D5_19C4,19-093,C4,19-093-C4,Day 10,4/17/18,R
3E5_35E3,35-078,E3,35-078-E3,Day 10,3/20/18,R
3F5_30C11,30-002,C11,30-002-C11,Day 0,3/16/18,R
3G5_32E6,32-077,E6,32-077-E6,Day 0,3/23/18,L
3H5_11E6,11-082,E6,11-082-E6,Day 0,3/30/18,R
3A6_20E8,20-091,E8,20-091-E8,Day 10,5/9/18,R
