"","sampleID","group","lib.size","norm.factors","lane","ExpCon","Fry.Number","Tank","Fry.ID","Trt","Date.Dissected","SIDE.RNA","Plate","Sex1","Time.In","Time.Attack","Dissection.START","Dissection.END","Pool","Length","Mass","Father","Group"
"19C5","19C5","1",1001395.92247553,1.02534070393452,"1","C","5","19-093","19-093-C5","Day10","4/19/18","L","2","F",NA,NA,16:40:00,"16:43",NA,30.97,0.51,"093","Day10_C_F"
"07E2","07E2","1",1037974.21567137,1.03498414647221,"1","E","2","07-081","07-081-E2","Day10","4/2/18","L","2","M","15:14","15:24",16:27:00,"16:31",1,25.36,0.22,"081","Day10_E_M"
"20E6","20E6","1",1142229.27449605,0.979840335666105,"1","E","6","20-091","20-091-E6","Day10","5/9/18","R","2","M","10:49","10:59",12:03:00,"12:07",2,29.59,0.39,"091","Day10_E_M"
"17E3","17E3","1",1081314.0255393,1.01571985314317,"S","E","3","17-095","17-095-E3","Day10","4/24/18","L","2","M","15:15","15:25",16:28:00,"16:32",1,29.06,0.35,"095","Day10_E_M"
"07C1","07C1","1",945470.22291455,0.973451101372399,"1","C","1","07-081","07-081-C1","Day10","4/2/18","R","2","M",NA,NA,12:45:00,"12:49",NA,32.81,0.6,"081","Day10_C_M"
"39E7","39E7","1",983893.094134187,0.993564450495308,"1","E","7","39-093","39-093-E7","Day0","5/7/18","R","2","F","14:20","14:30",15:33:00,"15:37",1,29.1,0.35,"093","Day0_E_F"
"11C5","11C5","1",1075229.28825816,1.00834477123723,"1","C","5","11-082","11-082-C5","Day0","3/30/18","L","2","F",NA,NA,13:04:00,"13:06",NA,28.96,0.36,"082","Day0_C_F"
"27C9","27C9","1",994639.720010408,1.01426265968738,"1","C","9","27-002","27-002-C9","Day10","3/12/18","R","2","M",NA,NA,13:05:00,"13:09",NA,28.46,0.4,"002","Day10_C_M"
"11E7","11E7","1",1056119.20751294,1.00671564399932,"1","E","7","11-082","11-082-E7","Day0","3/30/18","R","2","M","15:18","15:28",16:33:00,"16:36",1,29.97,0.46,"082","Day0_E_M"
"30E8","30E8","1",878108.561171267,0.983235071814614,"1","E","8","30-002","30-002-E8","Day0","3/16/18","L","2","F","11:08","11:18",12:23:00,"12:27",2,30.28,0.37,"002","Day0_E_F"
"35E5","35E5","1",1103706.29673758,0.996203038268869,"1","E","5","35-078","35-078-E5","Day10","3/21/18","R","2","F","10:17","10:27",11:36:00,"11:39",1,31.11,0.44,"078","Day10_E_F"
"07C4","07C4","1",897819.395396392,0.978972281656597,"1","C","4","07-081","07-081-C4","Day10","4/3/18","L","2","M",NA,NA,14:13:00,"14:15",NA,31.13,0.49,"081","Day10_C_M"
"20C5","20C5","1",971869.806768713,0.987543103362174,"1","C","5","20-091","20-091-C5","Day10","5/9/18","L","2","M",NA,NA,11:44:00,"11:47",NA,28.81,0.36,"091","Day10_C_M"
"30E7","30E7","1",1130529.52496256,0.986413522859296,"1","E","7","30-002","30-002-E7","Day0","3/16/18","R","2","M","10:41","10:51",11:58:00,"12:02",1,29.42,0.39,"002","Day0_E_M"
"31E8","31E8","1",1043250.64264151,0.942415058614892,"S","E","8","31-082","31-082-E8","Day10","5/3/18","R","2","M","15:53","16:03",17:05:00,"17:08",2,25.99,0.25,"082","Day10_E_M"
"32E1","32E1","1",993526.597839019,0.966543600153533,"1","E","1","32-077","32-077-E1","Day0","3/22/18","L","2","M","10:40","10:50",11:51:00,"11:54",1,33.22,0.48,"077","Day0_E_M"
"07E3","07E3","1",932073.743071096,1.00102752185933,"1","E","3","07-081","07-081-E3","Day10","4/2/18","R","2","M","15:45","15:55",16:54:00,"16:58",2,29.78,0.38,"081","Day10_E_M"
"40E5","40E5","1",934136.550508588,0.980798016125772,"1","E","5","40-091","40-091-E5","Day0","4/30/18","R","2","M","9:23","9:34",10:35:00,"10:39",1,27.59,0.33,"091","Day0_E_M"
"20E3","20E3","1",1037788.57134121,0.973599177564386,"1","E","3","20-091","20-091-E3","Day10","5/8/18","R","2","F","14:55","15:05",16:05:00,"16:08",1,27.04,0.29,"091","Day10_E_F"
"40E1","40E1","1",929255.994925018,1.00039509018302,"1","E","1","40-091","40-091-E1","Day0","4/27/18","L","2","F","11:56","12:06",13:08:00,"13:11",1,30.44,0.43,"091","Day0_E_F"
"11C3","11C3","1",751567.500679718,0.971269671684401,"1","C","3","11-082","11-082-C3","Day0","3/30/18","L","2","M",NA,NA,11:11:00,"11:14",NA,29.66,0.35,"082","Day0_C_M"
"07C8","07C8","1",996550.433647306,0.99796055190715,"1","C","8","07-081","07-081-C8","Day10","4/4/18","L","2","M",NA,NA,11:47:00,"11:49",NA,28.23,0.37,"081","Day10_C_M"
"31C5","31C5","1",872014.283923098,0.937228518712126,"1","C","5","31-082","31-082-C5","Day10","5/3/18","L","2","M",NA,NA,11:46:00,"11:49",NA,29.07,0.33,"082","Day10_C_M"
"11C7","11C7","1",825507.831797883,0.960654649149538,"1","C","7","11-082","11-082-C7","Day0","3/30/18","R","2","M",NA,NA,16:50:00,"16:54",NA,34.84,0.56,"082","Day0_C_M"
"20E7","20E7","1",1142461.04102266,0.957206220689146,"1","E","7","20-091","20-091-E7","Day10","5/9/18","L","2","M","15:04","15:14",16:17:00,"16:20",1,31.9,0.54,"091","Day10_E_M"
"32E8","32E8","1",1045306.43560168,0.978918163583754,"S","E","8","32-077","32-077-E8","Day0","3/23/18","L","2","F","15:16","15:26",16:27:00,"16:30",2,31.96,0.48,"077","Day0_E_F"
"30E10","30E10","1",999518.460327033,1.00055002740529,"1","E","10","30-002","30-002-E10","Day0","3/16/18","L","2","F","12:39","12:49",13:49:00,"13:53",2,27.77,0.31,"002","Day0_E_F"
"35E6","35E6","1",1020459.79559855,1.01181886251269,"1","E","6","35-078","35-078-E6","Day10","3/21/18","L","2","M","10:43","10:53",11:56:00,"11:59",2,32.98,0.46,"078","Day10_E_M"
"19C1","19C1","1",915737.442821353,0.981831386249511,"1","C","1","19-093","19-093-C1","Day10","4/16/18","R","2","M",NA,NA,16:36:00,"16:39",NA,29.61,0.4,"093","Day10_C_M"
"04C4","04C4","1",1028374.14988486,0.996550312214601,"1","C","4","04-078","04-078-C4","Day0","4/6/18","R","2","F",NA,NA,11:50:00,"11:53",NA,28.58,0.33,"078","Day0_C_F"
"25E2","25E2","1",899024.569833984,1.03634672958428,"1","E","2","25-081","25-081-E2","Day0","4/9/18","L","2","F","11:46","11:56",12:58:00,"13:01",2,30.85,0.47,"081","Day0_E_F"
"22C3","22C3","1",834232.734137215,0.967218508530615,"1","C","3","22-095","22-095-C3","Day0","4/13/18","L","2","F",NA,NA,12:18:00,"12:20",NA,30.22,0.36,"095","Day0_C_F"
"04C7","04C7","1",987045.92094977,1.00189093899283,"1","C","7","04-078","04-078-C7","Day0","4/6/18","L","2","F",NA,NA,16:31:00,"16:35",NA,29.45,0.44,"078","Day0_C_F"
"26C1","26C1","1",939179.47477527,0.9761643912302,"1","C","1","26-077","26-077-C1","Day10","3/26/18","R","2","F",NA,NA,12:44:00,"12:47",NA,27.37,0.31,"077","Day10_C_F"
"26E4","26E4","1",968885.062019392,0.989110391300709,"1","E","4","26-077","26-077-E4","Day10","3/26/18","L","2","F","15:31","15:41",16:42:00,"16:46",2,26.37,0.3,"077","Day10_E_F"
"04C2","04C2","1",1098814.43710257,0.994131405927049,"1","C","2","04-078","04-078-C2","Day0","4/5/18","L","2","M",NA,NA,16:32:00,"16:36",NA,29.16,0.36,"078","Day0_C_M"
"35E2","35E2","1",1085658.82221776,1.02101912258597,"1","E","2","35-078","35-078-E2","Day10","3/19/18","L","3","F","11:36","11:46",12:49:00,"12:53",2,29.57,0.37,"078","Day10_E_F"
"04C6","04C6","1",951696.071165285,1.01656838249415,"1","C","6","04-078","04-078-C6","Day0","4/6/18","R","3","M",NA,NA,13:14:00,"13:16",NA,30.88,0.4,"078","Day0_C_M"
"39C8","39C8","1",1150651.73422788,1.03348734131741,"1","C","8","39-093","39-093-C8","Day0","5/7/18","L","3","M",NA,NA,16:07:00,"16:10",NA,29.13,0.3,"093","Day0_C_M"
"07C5","07C5","1",909491.416431267,1.05128324396043,"2","C","5","07-081","07-081-C5","Day10","4/3/18","R","3","M",NA,NA,14:41:00,"14:44",NA,28.58,0.4,"081","Day10_C_M"
"04E6","04E6","1",1277544.64088914,1.01480542700498,"2","E","6","04-078","04-078-E6","Day0","4/6/18","R","3","F","12:14","12:24",13:25:00,"13:28",2,30.47,0.42,"078","Day0_E_F"
"20E8","20E8","1",1067950.38118909,1.00952894135299,"2","E","8","20-091","20-091-E8","Day10","5/9/18","R","3","F","15:32","15:43",16:47:00,"16:49",2,23.1,0.22,"091","Day10_E_F"
"11E5","11E5","1",1147274.4772206,0.975147322701301,"2","E","5","11-082","11-082-E5","Day0","3/30/18","L","3","M","11:41","11:51",12:54:00,"12:57",1,29.02,0.37,"082","Day0_E_M"
"26E5","26E5","1",1158302.44808445,0.972346115269699,"2","E","5","26-077","26-077-E5","Day10","3/27/18","L","3","F","13:16","13:26",14:34:00,"14:38",1,36.24,0.68,"077","Day10_E_F"
"31C8","31C8","1",988399.097496429,0.99597046497114,"1","C","8","31-082","31-082-C8","Day10","5/3/18","R","3","F",NA,NA,16:52:00,"16:56",NA,30.32,0.42,"082","Day10_C_F"
"11C6","11C6","1",1227414.22063661,1.02612364892215,"1","C","6","11-082","11-082-C6","Day0","3/30/18","R","3","F",NA,NA,13:16:00,"13:18",NA,27.88,0.34,"082","Day0_C_F"
"25E7","25E7","1",1198012.60165631,0.984138613936927,"2","E","7","25-081","25-081-E7","Day0","4/10/18","L","3","M","15:24","15:34",16:38:00,"16:40",1,32.57,0.59,"081","Day0_E_M"
"19E4","19E4","1",1207735.49924283,0.986788598169654,"2","E","4","19-093","19-093-E4","Day10","4/17/18","R","3","M","15:54","16:04",17:10:00,"17:13",2,32.35,0.49,"093","Day10_E_M"
"25C3","25C3","1",1330341.55951524,0.999067695754029,"2","C","3","25-081","25-081-C3","Day0","4/9/18","R","3","F",NA,NA,16:16:00,"16:20",NA,26.96,0.25,"081","Day0_C_F"
"17E6","17E6","1",1153895.71049135,0.976495731034338,"2","E","6","17-095","17-095-E6","Day10","4/26/18","L","3","F","15:49","15:59",17:01:00,"17:03",2,35.81,0.57,"095","Day10_E_F"
