"","x"
"640","groupI"
"641","groupI"
"642","groupI"
"643","groupI"
"644","groupI"
"645","groupI"
"646","groupI"
"647","groupI"
"648","groupI"
"649","groupI"
"650","groupI"
"651","groupI"
"652","groupI"
"653","groupI"
"654","groupI"
"655","groupI"
"656","groupI"
"657","groupI"
"658","groupI"
"659","groupI"
"660","groupI"
"661","groupI"
"662","groupI"
"663","groupI"
"664","groupI"
"665","groupI"
"666","groupI"
"667","groupI"
"668","groupI"
"669","groupI"
"670","groupI"
"671","groupI"
"672","groupI"
"673","groupI"
"674","groupI"
"675","groupI"
"676","groupI"
"677","groupI"
"678","groupI"
"679","groupI"
"680","groupI"
"681","groupI"
"682","groupI"
"683","groupI"
"684","groupI"
"685","groupI"
"686","groupI"
"687","groupI"
"688","groupI"
"689","groupI"
"690","groupI"
"691","groupI"
"692","groupI"
"693","groupI"
"694","groupI"
"695","groupI"
"696","groupI"
"697","groupI"
"698","groupI"
"699","groupI"
"700","groupI"
"701","groupI"
"702","groupI"
"703","groupI"
"704","groupI"
"705","groupI"
"706","groupI"
"707","groupI"
"708","groupI"
"709","groupI"
"710","groupI"
"711","groupI"
"712","groupI"
"713","groupI"
"714","groupI"
"715","groupI"
"716","groupI"
"717","groupI"
"718","groupI"
"719","groupI"
"720","groupI"
"721","groupI"
"722","groupI"
"723","groupI"
"724","groupI"
"725","groupI"
"726","groupI"
"727","groupI"
"728","groupI"
"729","groupI"
"730","groupI"
"731","groupI"
"732","groupI"
"733","groupI"
"734","groupI"
"735","groupI"
"736","groupI"
"737","groupI"
"738","groupI"
"739","groupI"
"740","groupI"
"741","groupI"
"742","groupI"
"743","groupI"
"744","groupI"
"745","groupI"
"746","groupI"
"747","groupI"
"748","groupI"
"749","groupI"
"750","groupI"
"751","groupI"
"752","groupI"
"753","groupI"
"754","groupI"
"755","groupI"
"756","groupI"
"757","groupI"
"758","groupI"
"759","groupI"
"760","groupI"
"761","groupI"
"762","groupI"
"763","groupI"
"764","groupI"
"765","groupI"
"766","groupI"
"767","groupI"
"768","groupI"
"769","groupI"
"770","groupI"
"771","groupI"
"772","groupI"
"773","groupI"
"774","groupI"
"775","groupI"
"776","groupI"
"777","groupI"
"778","groupI"
"779","groupI"
"780","groupI"
"781","groupI"
"782","groupI"
"783","groupI"
"784","groupI"
"785","groupI"
"786","groupI"
"787","groupI"
"788","groupI"
"789","groupI"
"790","groupI"
"791","groupI"
"792","groupI"
"793","groupI"
"794","groupI"
"795","groupI"
"796","groupI"
"797","groupI"
"798","groupI"
"799","groupI"
"800","groupI"
"801","groupI"
"802","groupI"
"803","groupI"
"804","groupI"
"805","groupI"
"806","groupI"
"807","groupI"
"808","groupI"
"809","groupI"
"810","groupI"
"811","groupI"
"812","groupI"
"813","groupI"
"814","groupI"
"815","groupI"
"816","groupI"
"817","groupI"
"818","groupI"
"819","groupI"
"820","groupI"
"821","groupI"
"822","groupI"
"823","groupI"
"824","groupI"
"825","groupI"
"826","groupI"
"827","groupI"
"828","groupI"
"829","groupI"
"830","groupI"
"831","groupI"
"832","groupI"
"833","groupI"
"834","groupI"
"835","groupI"
"836","groupI"
"837","groupI"
"838","groupI"
"839","groupI"
"840","groupI"
"841","groupI"
"842","groupI"
"843","groupI"
"844","groupI"
"845","groupI"
"846","groupI"
"847","groupI"
"848","groupI"
"849","groupI"
"850","groupI"
"851","groupI"
"852","groupI"
"853","groupI"
"854","groupI"
"855","groupI"
"856","groupI"
"857","groupI"
"858","groupI"
"859","groupI"
"860","groupI"
"861","groupI"
"862","groupI"
"863","groupI"
"864","groupI"
"865","groupI"
"866","groupI"
"867","groupI"
"868","groupI"
"869","groupI"
"870","groupI"
"871","groupI"
"872","groupI"
"873","groupI"
"874","groupI"
"875","groupI"
"876","groupI"
"877","groupI"
"878","groupI"
"879","groupI"
"880","groupI"
"881","groupI"
"882","groupI"
"883","groupI"
"884","groupI"
"885","groupI"
"886","groupI"
"887","groupI"
"888","groupI"
"889","groupI"
"890","groupI"
"891","groupI"
"892","groupI"
"893","groupI"
"894","groupI"
"895","groupI"
"896","groupI"
"897","groupI"
"898","groupI"
"899","groupI"
"900","groupI"
"901","groupI"
"902","groupI"
"903","groupI"
"904","groupI"
"905","groupI"
"906","groupI"
"907","groupI"
"908","groupI"
"909","groupI"
"910","groupI"
"911","groupI"
"912","groupI"
"913","groupI"
"914","groupI"
"915","groupI"
"916","groupI"
"917","groupI"
"918","groupI"
"919","groupI"
"920","groupI"
"921","groupI"
"922","groupI"
"923","groupI"
"924","groupI"
"925","groupI"
"926","groupI"
"927","groupI"
"928","groupI"
"929","groupI"
"930","groupI"
"931","groupI"
"932","groupI"
"933","groupI"
"934","groupI"
"935","groupI"
"936","groupI"
"937","groupI"
"938","groupI"
"939","groupI"
"940","groupI"
"941","groupI"
"942","groupI"
"943","groupI"
"944","groupI"
"945","groupI"
"946","groupI"
"947","groupI"
"948","groupI"
"949","groupI"
"950","groupI"
"951","groupI"
"952","groupI"
"953","groupI"
"954","groupI"
"955","groupI"
"956","groupI"
"957","groupI"
"958","groupI"
"959","groupI"
"960","groupI"
"961","groupI"
"962","groupI"
"963","groupI"
"964","groupI"
"965","groupI"
"966","groupI"
"967","groupI"
"968","groupI"
"969","groupI"
"970","groupI"
"971","groupI"
"972","groupI"
"973","groupI"
"974","groupI"
"975","groupI"
"976","groupI"
"977","groupI"
"978","groupI"
"979","groupI"
"980","groupI"
"981","groupI"
"982","groupI"
"983","groupI"
"984","groupI"
"985","groupI"
"986","groupI"
"987","groupI"
"988","groupI"
"989","groupI"
"990","groupI"
"991","groupI"
"992","groupI"
"993","groupI"
"994","groupI"
"995","groupI"
"996","groupI"
"997","groupI"
"998","groupI"
"999","groupI"
"1000","groupI"
"1001","groupI"
"1002","groupI"
"1003","groupI"
"1004","groupI"
"1005","groupI"
"1006","groupI"
"1007","groupI"
"1008","groupI"
"1009","groupI"
"1010","groupI"
"1011","groupI"
"1012","groupI"
"1013","groupI"
"1014","groupI"
"1015","groupI"
"1016","groupI"
"1017","groupI"
"1018","groupI"
"1019","groupI"
"1020","groupI"
"1021","groupI"
"1022","groupI"
"1023","groupI"
"1024","groupI"
"1025","groupI"
"1026","groupI"
"1027","groupI"
"1028","groupI"
"1029","groupI"
"1030","groupI"
"1031","groupI"
"1032","groupI"
"1033","groupI"
"1034","groupI"
"1035","groupI"
"1036","groupI"
"1037","groupI"
"1038","groupI"
"1039","groupI"
"1040","groupI"
"1041","groupI"
"1042","groupI"
"1043","groupI"
"1044","groupI"
"1045","groupI"
"1046","groupI"
"1047","groupI"
"1048","groupI"
"1049","groupI"
"1050","groupI"
"1051","groupI"
"1052","groupI"
"1053","groupI"
"1054","groupI"
"1055","groupI"
"1056","groupI"
"1057","groupI"
"1058","groupI"
"1059","groupI"
"1060","groupI"
"1061","groupI"
"1062","groupI"
"1063","groupI"
"1064","groupI"
"1065","groupI"
"1066","groupI"
"1067","groupI"
"1068","groupI"
"1069","groupI"
"1070","groupI"
"1071","groupI"
"1072","groupI"
"1073","groupI"
"1074","groupI"
"1075","groupI"
"1076","groupI"
"1077","groupI"
"1078","groupI"
"1079","groupI"
"1080","groupI"
"1081","groupI"
"1082","groupI"
"1083","groupI"
"1084","groupI"
"1085","groupI"
"1086","groupI"
"1087","groupI"
"1088","groupI"
"1089","groupI"
"1090","groupI"
"1091","groupI"
"1092","groupI"
"1093","groupI"
"1094","groupI"
"1095","groupI"
"1096","groupI"
"1097","groupI"
"1098","groupI"
"1099","groupI"
"1100","groupI"
"1101","groupI"
"1102","groupI"
"1103","groupI"
"1104","groupI"
"1105","groupI"
"1106","groupI"
"1107","groupI"
"1108","groupI"
"1109","groupI"
"1110","groupI"
"1111","groupI"
"1112","groupI"
"1113","groupI"
"1114","groupI"
"1115","groupI"
"1116","groupI"
"1117","groupI"
"1118","groupI"
"1119","groupI"
"1120","groupI"
"1121","groupI"
"1122","groupI"
"1123","groupI"
"1124","groupI"
"1125","groupI"
"1126","groupI"
"1127","groupI"
"1128","groupI"
"1129","groupI"
"1130","groupI"
"1131","groupI"
"1132","groupI"
"1133","groupI"
"1134","groupI"
"1135","groupI"
"1136","groupI"
"1137","groupI"
"1138","groupI"
"1139","groupI"
"1140","groupI"
"1141","groupI"
"1142","groupI"
"1143","groupI"
"1144","groupI"
"1145","groupI"
"1146","groupI"
"1147","groupI"
"1148","groupI"
"1149","groupI"
"1150","groupI"
"1151","groupI"
"1152","groupI"
"1153","groupI"
"1154","groupI"
"1155","groupI"
"1156","groupI"
"1157","groupI"
"1158","groupI"
"1159","groupI"
"1160","groupI"
"1161","groupI"
"1162","groupI"
"1163","groupI"
"1164","groupI"
"1165","groupI"
"1166","groupI"
"1167","groupI"
"1168","groupI"
"1169","groupI"
"1170","groupI"
"1171","groupI"
"1172","groupI"
"1173","groupI"
"1174","groupI"
"1175","groupI"
"1176","groupI"
"1177","groupI"
"1178","groupI"
"1179","groupI"
"1180","groupI"
"1181","groupI"
"1182","groupI"
"1183","groupI"
"1184","groupI"
"1185","groupI"
"1186","groupI"
"1187","groupI"
"1188","groupI"
"1189","groupI"
"1190","groupI"
"1191","groupI"
"1192","groupI"
