File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
17-095_E5_before,17-095,E5,04/26/18,1521,AP,GZ,before,0,5,5,221142,78857,269941,30057,221142,0,4139,295858,209959,freeze
17-095_E5_before,17-095,E5,04/26/18,1521,AP,GZ,before,1,2,2,101464,198536,298179,1821,101464,0,0,3e+05,26228,freeze
17-095_E6_before,17-095,E6,04/26/18,1549,GZ,AP,before,0,10,5,189134,110862,15710,284288,0,189134,6284,293713,0,freeze
17-095_E6_before,17-095,E6,04/26/18,1549,GZ,AP,before,1,24,8,0,3e+05,52968,247032,0,0,58222,241778,29081,freeze
17-095_E7_before,17-095,E7,04/27/18,1020,AM,KJ,before,0,4,4,222957,77043,181642,118358,167219,55738,292190,7810,0,none
17-095_E7_before,17-095,E7,04/27/18,1020,AM,KJ,before,1,11,4,81295,218705,92885,207115,81295,0,144894,155106,17044,none
17-095_E8_before,17-095,E8,04/27/18,1045,AM,KJ,before,0,1,1,297938,2062,298162,1838,297938,0,0,3e+05,0,none
17-095_E8_before,17-095,E8,04/27/18,1045,AM,KJ,before,1,3,3,295889,4111,298440,1560,295889,0,0,3e+05,0,none
19-093_E1_before,19-093,E1,04/16/18,1513,AF , BF ,before,0,6,4,197870,102129,0,299997,0,197870,142155,157843,0,fast start
19-093_E1_before,19-093,E1,04/16/18,1513,AF , BF ,before,1,6,3,170339,129661,0,3e+05,0,170339,268573,31427,0,fast start
19-093_E2_before,19-093,E2,04/16/18,1540,BF , AF ,before,0,9,4,151723,148276,1564,298433,0,151721,48849,251149,0,none
19-093_E2_before,19-093,E2,04/16/18,1540,BF , AF ,before,1,9,6,129667,170333,6768,293232,0,129667,107319,192681,2182,none
19-093_E3_before,19-093,E3,04/17/18,1529,AP,SR,before,0,8,5,88973,211026,217547,82451,88973,0,13927,286070,0,none
19-093_E3_before,19-093,E3,04/17/18,1529,AP,SR,before,1,1,1,245788,54212,3e+05,0,245788,0,0,3e+05,0,none
19-093_E4_before,19-093,E4,04/17/18,1554,SR,AP,before,0,6,4,105676,194320,125115,174884,73573,32103,30179,269819,0,jerky swim
19-093_E4_before,19-093,E4,04/17/18,1554,SR,AP,before,1,9,5,26207,273793,113710,186290,2312,23895,2016,297984,15169,jerky swim
19-093_E5_before,19-093,E5,04/19/18,1519,AP,GZ,before,0,15,5,98197,201802,94306,205692,77113,21084,8677,291320,0,jerky swim
19-093_E5_before,19-093,E5,04/19/18,1519,AP,GZ,before,1,7,4,174987,125013,28596,271404,25553,149434,215731,84269,0,jerky swim
19-093_E6_before,19-093,E6,04/23/18,1118,AF,BF,before,0,1,1,226269,73730,0,299998,0,226268,0,299997,0,fast start 
19-093_E6_before,19-093,E6,04/23/18,1118,AF,BF,before,1,8,8,200491,99509,0,3e+05,0,200491,224477,75523,500,fast start 
19-093_E7_before,19-093,E7,04/23/18,1146,AF,BF,before,0,5,4,224934,75065,165004,134993,157505,67427,1132,298866,0,none
19-093_E7_before,19-093,E7,04/23/18,1146,AF,BF,before,1,1,1,298490,1510,171879,128121,171115,127375,0,3e+05,0,none
19-093_E8_before,19-093,E8,04/23/18,1508,AF,BF,before,0,18,6,175586,124413,66737,233260,38093,137493,5001,294997,21920,fast start
19-093_E8_before,19-093,E8,04/23/18,1508,AF,BF,before,1,1,1,3e+05,0,0,3e+05,0,3e+05,0,3e+05,0,fast start
20-091_E1_before,20-091,E1,05/08/18,1022,JCK,RZ,before,0,6,6,125201,174796,268381,31617,121512,3689,0,299999,31398,other swim / freeze
20-091_E1_before,20-091,E1,05/08/18,1022,JCK,RZ,before,1,1,1,240580,59420,291697,8303,236635,3945,7553,292447,0,other swim / freeze
20-091_E2_before,20-091,E2,05/08/18,1049,JCK,RZ,before,0,8,8,238215,61783,0,299997,0,238215,66352,233647,0,none
20-091_E2_before,20-091,E2,05/08/18,1049,JCK,RZ,before,1,1,1,271169,28831,75815,224185,69742,201427,0,3e+05,0,none
20-091_E3_before,20-091,E3,05/08/18,1455,JCK,JCK,before,0,23,7,109214,190784,22753,277246,5183,104031,48694,251303,0,jerky swim / freeze
20-091_E3_before,20-091,E3,05/08/18,1455,JCK,JCK,before,1,47,8,6477,293523,1368,298632,0,6477,250372,49628,1428,jerky swim / freeze
20-091_E4_before,20-091,E4,05/08/18,1523,JCK,JCK,before,0,12,7,92082,207916,175153,124844,66874,25208,298,299701,17920,other swim / plant / freeze
20-091_E4_before,20-091,E4,05/08/18,1523,JCK,JCK,before,1,3,2,191434,108566,283395,16605,191434,0,8618,291382,0,other swim / plant / freeze
20-091_E5_before,20-091,E5,05/09/18,1020,JCK,RZ,before,0,10,4,60117,239881,157843,142156,60117,0,41412,258585,0,other swim / plant
20-091_E5_before,20-091,E5,05/09/18,1020,JCK,RZ,before,1,11,5,18856,281144,81273,218727,0,18856,58432,241568,0,other swim / plant
